no,name,apt_id,lon,lat,dist,url
5096,새순유치원,1165010115,126.9884834,37.48864117,672.566716,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5097,동그라미유치원,1165010115,126.9793694,37.48165188,485.2680928,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001624
5098,하랑유치원,1165010126,126.9790064,37.48832935,475.0761832,
5099,새순유치원,1165010126,126.9884834,37.48864117,434.1098978,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5100,하랑유치원,1165010125,126.9790064,37.48832935,434.0905402,
5101,새순유치원,1165010125,126.9884834,37.48864117,404.4501674,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5102,동그라미유치원,1165010125,126.9793694,37.48165188,857.3634116,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001624
5103,하랑유치원,1165010127,126.9790064,37.48832935,544.736541,
5104,새순유치원,1165010127,126.9884834,37.48864117,525.96813,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5108,새싹유치원,1165010122,126.9728591,37.47456536,885.2501275,http://e-childschoolinfo.moe.go.kr/presch/preschSumry.do?pPresch=B100001641
5109,동그라미유치원,1165010122,126.9793694,37.48165188,879.1118913,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001624
