no,apt_id,way_no,dist,x,y
5879,1165010835,99,1186.825371,127.0077849,37.47666098
5880,1165010806,45,1530.453143,127.009918,37.49871926
5881,1165010806,68,1670.541181,127.0162506,37.48472578
5882,1165010806,99,2138.89439,127.0172426,37.47904369
5883,1165010839,68,502.5492301,127.0162506,37.48472578
5884,1165010839,99,785.1939935,127.015259,37.47895904
5885,1165010839,45,866.9235121,127.0028473,37.48471103
5886,1165010716,45,54.46763928,127.009918,37.49871926
5887,1165010716,119,850.4852586,127.0023835,37.50211998
5888,1165010716,68,1577.490899,127.0162506,37.48472578
5889,1165010612,106,394.7967498,127.0119692,37.52207021
5890,1165010612,131,1154.404996,127.0101215,37.5297015
5891,1165010612,123,1483.71765,127.0136006,37.53384801
5892,1165010133,45,288.354882,126.9979292,37.48591019
5893,1165010133,119,1226.248712,126.9944943,37.499041
5894,1165010133,99,1521.653831,127.0043353,37.47490997
5895,1165010823,99,1226.417331,127.0287471,37.47408925
5896,1165010823,128,1247.912445,127.0374936,37.47468214
5897,1165010823,68,1286.806139,127.0200017,37.48164634
5898,1165010129,86,917.4567107,126.9766301,37.49149443
5899,1165010129,21,924.5962712,126.9766204,37.49159791
5900,1165010129,26,1002.819319,126.9812504,37.47643177
5901,1165010822,68,1154.617673,127.0200017,37.48164634
5902,1165010822,99,1227.170136,127.0268758,37.47475594
5903,1165010822,128,1381.967829,127.0374936,37.47468214
5904,1165010614,106,321.9087235,127.0108328,37.52109051
5905,1165010614,131,1140.639145,127.0088,37.52918572
5906,1165010614,123,1535.306991,127.0136006,37.53384801
5907,1165010131,45,36.79440702,126.9995879,37.48760831
5908,1165010131,119,1248.049254,126.9952183,37.49927756
5909,1165010131,99,1357.177541,127.0058754,37.47592547
5910,1165010128,45,273.0938243,126.9972347,37.489538
5911,1165010128,119,891.0012357,126.9942974,37.49903379
5912,1165010128,21,1335.42574,126.9825548,37.49561563
5913,1165010125,119,497.4280957,126.987382,37.49861097
5914,1165010125,21,562.9380874,126.9825548,37.49561563
5915,1165010125,86,574.8123057,126.9824778,37.49574496
5916,1165010712,45,515.1078366,127.0086345,37.50035075
5917,1165010712,119,968.8842203,127.0023835,37.50211998
5918,1165010712,106,1273.356773,127.0037878,37.51424889
5919,1165010607,106,248.3033588,127.0118034,37.52192105
5920,1165010607,131,1028.618942,127.0097,37.52953699
5921,1165010607,123,1393.989443,127.0136006,37.53384801
5922,1165010606,106,1229.323516,127.0103712,37.52069557
5923,1165010606,45,1472.96347,127.0066506,37.50266434
5924,1165010606,119,1862.716322,127.0023835,37.50211998
5925,1165010837,68,530.9728687,127.0105236,37.47883903
5926,1165010837,99,714.5621067,127.0109443,37.47706082
5927,1165010837,45,721.2928851,127.0028473,37.48471103
5928,1165010101,99,453.261145,127.0068466,37.47623228
5929,1165010101,68,461.7782462,127.0072194,37.47630639
5930,1165010101,45,495.685978,127.0028473,37.48471103
5931,1165010836,45,659.2802299,127.0028473,37.48471103
5932,1165010836,68,761.68468,127.0162506,37.48472578
5933,1165010836,99,1007.104446,127.0109443,37.47706082
5934,1165010826,68,50.87118355,127.0167295,37.4838685
5935,1165010826,99,495.9104634,127.0163215,37.47928
5936,1165010826,45,1448.423336,127.0028473,37.48471103
5937,1165010838,45,561.9076081,127.00428,37.49467727
5938,1165010838,68,1011.116879,127.0162506,37.48472578
5939,1165010838,119,1276.152141,127.0023835,37.50211998
5940,1165010306,128,593.0498256,127.0233085,37.45714611
5941,1165010306,99,1274.688508,127.031048,37.47124423
5942,1165010306,68,1293.758971,127.0145685,37.47342857
5943,1165010636,106,428.3879198,127.0041145,37.51459142
5944,1165010636,45,879.269796,127.0063244,37.50300578
5945,1165010636,119,1079.517389,127.0023835,37.50211998
5946,1165010628,106,698.5548707,127.0045705,37.51506941
5947,1165010628,45,944.6834308,127.0063244,37.50300578
5948,1165010628,119,1241.570819,127.0023835,37.50211998
5949,1165010203,128,166.4511102,127.0427264,37.47825828
5950,1165010203,129,717.3809734,127.0376789,37.47315704
5951,1165010203,10,755.5738635,127.0471987,37.48391417
5952,1165010111,21,403.5184167,126.9825548,37.49561563
5953,1165010111,86,418.5345263,126.9824778,37.49574496
5954,1165010111,119,740.9490863,126.9867742,37.49869099
5955,1165010622,106,1002.30282,127.0071651,37.51780738
5956,1165010622,45,1104.921703,127.0064332,37.50295204
5957,1165010622,119,1470.720571,127.0023835,37.50211998
5958,1165010124,119,397.15769,126.9881826,37.49869713
5959,1165010124,21,620.9689963,126.9825548,37.49561563
5960,1165010124,86,630.5428757,126.9824778,37.49574496
5961,1165010847,45,898.4785805,127.009918,37.49871926
5962,1165010847,68,971.5328265,127.0162506,37.48472578
5963,1165010847,99,1517.173998,127.0162057,37.47929553
5964,1165010121,119,113.7191333,126.9872619,37.49862678
5965,1165010121,21,499.008832,126.9825548,37.49561563
5966,1165010121,86,501.4068288,126.9824778,37.49574496
5967,1165010605,106,1015.964848,127.009762,37.52017428
5968,1165010605,45,1389.779579,127.0064332,37.50295204
5969,1165010605,119,1756.343097,127.0023835,37.50211998
5970,1165010630,106,879.983364,127.0045705,37.51506941
5971,1165010630,45,937.9574449,127.0064332,37.50295204
5972,1165010630,119,1279.268874,127.0023835,37.50211998
