route_id,route_name,route_type
SJB293000168,1000,광역
SJB293000169,1000,광역
SJB293000170,340,간선
SJB293000171,340,간선
SJB293000178,1004,광역
SJB293000179,1004,광역
SJB293000180,11,지선
SJB293000181,12,지선
SJB293000188,52,마을
SJB293000190,53,마을
SJB293000192,61,마을
SJB293000193,61,마을
SJB293000194,62,마을
SJB293000195,62,마을
SJB293000196,63,마을
SJB293000197,63,마을
SJB293000198,64,마을
SJB293000199,64,마을
SJB293000200,65,마을
SJB293000201,65,마을
SJB293000202,66,마을
SJB293000203,66,마을
SJB293000204,661,광역
SJB293000205,661,광역
SJB293000206,67,마을
SJB293000207,67,마을
SJB293000208,69,마을
SJB293000209,69,마을
SJB293000210,691,광역
SJB293000211,691,광역
SJB293000212,16,마을
SJB293000213,16,마을
SJB293000214,17,마을
SJB293000215,17,마을
SJB293000216,31,마을
SJB293000217,31,마을
SJB293000218,32,마을
SJB293000219,32,마을
SJB293000220,33,마을
SJB293000221,33,마을
SJB293000224,35,마을
SJB293000227,300,광역
SJB293000228,300,광역
SJB293000229,910,지선
SJB293000230,910,지선
SJB293000231,204,지선
SJB293000232,204,지선
SJB293000235,71,마을
SJB293000236,71,마을
SJB293000237,72,마을
SJB293000238,72,마을
SJB293000239,73,마을
SJB293000240,74,마을
SJB293000241,75,마을
SJB293000242,75,마을
SJB293000243,76,마을
SJB293000244,81,마을
SJB293000245,81,마을
SJB293000246,82,마을
SJB293000247,82,마을
SJB293000248,83,마을
SJB293000249,84,마을
SJB293000250,85,마을
SJB293000251,85,마을
SJB293000252,86,마을
SJB293000253,86,마을
SJB293000254,91,마을
SJB293000255,91,마을
SJB293000256,92,마을
SJB293000257,92,마을
SJB293000258,93,마을
SJB293000259,93,마을
SJB293000260,94,마을
SJB293000261,94,마을
SJB293000262,95,마을
SJB293000263,95,마을
SJB293000264,13,지선
SJB293000265,84,마을
SJB293000268,203,지선
SJB293000269,205,지선
SJB293000274,201,지선
SJB293000275,201,지선
SJB293000276,202,지선
SJB293000277,202,지선
SJB293000278,221,지선
SJB293000279,221,지선
SJB293000280,222,지선
SJB293000281,222,지선
SJB293000282,1005,광역
SJB293000283,1005,광역
SJB293000290,83,마을
SJB293000302,B0,급행
SJB293000303,B0,급행
SJB293000304,B0,급행
SJB293000305,B0,급행
SJB293000311,B5,급행
SJB293000312,B5,급행
SJB293000313,자율C1,급행
SJB293000314,자율C2,급행
DGB300060007,600[유가사-용연사-대곡(주말)],간선
DGB300060900,609,간선
DGB300061800,618[대곡-동호],간선
DGB300062300,623,간선
DGB300064900,649,간선
DGB300065000,650,간선
DGB300065100,651,간선
DGB300065300,653,간선
DGB300065500,655,간선
DGB300070600,706,간선
DGB300070800,708[동아아울렛강북점경유],간선
DGB300071900,719,간선
DGB300072400,724,간선
DGB300072600,726,간선
DGB300073000,730,간선
DGB300075000,750,간선
DGB300080500,805,간선
DGB300080800,808[금호방면],간선
DGB300081400,814,간선
DGB300083600,836,간선
DGB300084000,840,간선
DGB300084900,849[동호-욱수-동호],간선
DGB300084910,849-1[동호-욱수-동호],간선
DGB300090900,909,간선
DGB300093700,937,간선
DGB300093900,939,간선
DGB300098000,980,간선
DGB300172500,7250,간선
DGB300181400,8140,간선
DGB401000200,가창2[우록방면],지선
DGB401000211,가창2[단산(냉천)방면],지선
DGB403000100,달서1,지선
DGB403000300,달서3,지선
DGB403000400,달서4,지선
DGB403000410,달서4-1,지선
DGB403000500,달서5,지선
DGB404000100,달성1[다산-대곡-다산],지선
DGB404000200,달성2[노이-서부정류장-노이],지선
DGB404000201,달성2[용연사-서부정류장-노이],지선
DGB404000202,달성2[달성군청-무지개마을-서부정류장-본리2],지선
DGB404000203,달성2[달성군청-무지개마을-서부정류장-노이],지선
DGB404000204,달성2[달성군청-무지개마을-서부정류장-용연사(옥포간경리,지선
DGB404000300,달성3,지선
DGB404000500,달성5[대곡-용연사-유가사],지선
DGB404000507,달성5[대곡-용연사-휴양림-유가사(주말)],지선
DGB404000600,달성6[본말-도의-달성1차공단-성요셉병원-현풍],지선
DGB404000601,달성6[본말-도의-현풍],지선
DGB404000700,달성7[현풍-예현-유산],지선
DGB405000100,동구1,지선
DGB405000110,동구1-1,지선
DGB405000200,동구2[시청방면],지선
DGB405000300,동구3[부동방면],지선
DGB405000400,동구4,지선
DGB405000410,동구4-1,지선
DGB405000500,동구5,지선
DGB405000510,동구5[용계역방면],지선
DGB405000600,동구6,지선
DGB405000610,동구6[LH14단지-안심역-내곡동],지선
DGB405000620,동구6[내곡동-안심역-LH14단지],지선
DGB405000700,동구7,지선
DGB405000800,동구8,지선
DGB405000900,동구9,지선
DGB406000100,북구1,지선
DGB406000200,북구2,지선
DGB406000300,북구3,지선
DGB406000400,북구4,지선
DGB407000100,성서1,지선
DGB407000110,성서1-1,지선
DGB407000200,성서2[대천-대평-대천],지선
DGB407000201,성서2[대천-대평-서문시장],지선
DGB407000202,성서2[대천-하산스무지(육신사)-대천],지선
DGB407000203,성서2[서문시장-하산스무지-대천],지선
DGB407000205,성서2[대천-문산-하산스무지-대천],지선
DGB407000206,성서2[대천-하산스무지-문산-서문시장],지선
DGB407000300,성서3[다사-세천-장기-세천-다사],지선
DGB407000301,성서3[다사-세천-팔달시장-세천-다사],지선
DGB408000100,수성1,지선
DGB408000110,수성1-1,지선
DGB408000200,수성2[시지-팔현-연호네거리],지선
DGB408000300,수성3,지선
DGB408000310,수성3-1,지선
DGB408000400,수성4,지선
DGB409000100,칠곡1,지선
DGB409000110,칠곡1-1,지선
DGB409000200,칠곡2[동호동-노곡동-동호동],지선
DGB409000300,칠곡3[동명-칠곡시장-동명-예술대-경운대-동명],지선
DGB409000301,칠곡3[동명-칠곡시장-동명-경운대-동명],지선
DGB409000302,칠곡3[동명-칠곡시장-동명-기성-대구은행연수원-동명],지선
DGB409000400,칠곡4,지선
DGB409000500,칠곡5,지선
DGB410000100,팔공1[동화사-칠성시장-동화사],지선
DGB410000101,팔공1[평광-칠성시장-능성],지선
DGB411000100,"팔공2[팔공산맞춤노선(토요일,공휴일운행)]",지선
DGB411000200,"팔공3[팔공산맞춤노선(토,휴일,공휴일운행)]",지선
DGB412000100,서구1,지선
DGB412000110,서구1-1,지선
DGB413000100,남구1,지선
DGB413000110,남구1-1,지선
DGB100000100,급행1,급행
DGB100000200,급행2,급행
DGB100000300,급행3,급행
