join_key,area_use,deal_type,contract_ym,price
1165001000001,161.46,deal,202003,150000
1165001000001,195.3,deal,202004,118000
1165001000001,196.98,deal,202012,180000
1165001030001,174.44,deal,202103,187000
1165001030003,141.2,deal,201912,140000
1165001070019,95.65,deal,201907,85000
1165001070052,148.83,deal,202008,138500
1165001100006,244.93,deal,202105,165000
1165001100006,273.31,deal,202104,280000
1165001110001,242.17,deal,202002,160000
1165001120015,204.81,deal,202206,330000
1165001120015,207.24,deal,202010,262500
1165001120015,213.15,deal,201911,270000
1165001190003,84.38,deal,202006,84000
1165001190003,84.92,deal,202102,104000
1165001220002,206.12,deal,202010,170000
1165001370001,84.58,deal,202006,127000
1165001370001,84.91,deal,201909,105000
1165001540002,73.15,deal,202203,167000
1165001540002,84.58,deal,202112,180000
1165001540002,84.88,deal,202104,171000
1165001570000,59.8,deal,202204,225000
1165001570000,59.92,deal,202206,230000
1165001570000,84.91,deal,202206,277500
1165001580000,84.42,deal,202105,287000
1165001580000,84.46,deal,202107,286500
1165001580000,84.49,deal,202204,342500
1165001580000,104.02,deal,202101,304250
1165001580000,104.03,deal,202206,410000
1165001580000,104.04,deal,202102,319000
1165001580000,104.08,deal,202004,253000
1165001580000,133.06,deal,202010,300000
1165001590000,78.48,deal,202204,378000
1165001590000,78.5,deal,202206,438000
1165001590000,84.79,deal,202111,360000
1165001590000,84.82,deal,202011,290000
1165001600000,59.35,deal,202105,237000
1165001600000,59.86,deal,202108,255000
1165001600000,59.93,deal,202103,238800
1165001600000,84.87,deal,202108,345000
1165001600000,84.92,deal,202207,345750
1165001600000,84.97,deal,202205,343000
1165001600000,84.98,deal,202204,360000
1165001600000,98.45,deal,201910,285000
1165001600000,114.94,deal,202204,470000
1165001600002,84.69,deal,202201,157000
1165001610000,59.95,deal,202204,250000
1165001610000,84.92,deal,202106,270000
1165001610000,108.37,deal,202204,359000
1165001610000,133.37,deal,202204,420000
1165001620000,59.97,deal,202007,220000
1165001620000,59.98,deal,202205,262000
1165001620000,84.94,deal,202012,308000
1165001620000,84.95,deal,202201,340000
1165001620000,84.98,deal,202205,363000
1165001620000,98.87,deal,202109,420000
1165001620000,98.99,deal,202110,450000
1165001620000,114.96,deal,202109,450000
1165001690024,84.7,deal,202007,139000
1165001690024,84.74,deal,202002,132500
1165001690024,110.85,deal,202105,159000
1165001690024,112.68,deal,201910,151500
1165001690024,124.39,deal,202011,164500
1165002030002,84.92,deal,201910,61800
1165002030002,131.73,deal,202004,68000
1165002030011,57.89,deal,202002,54000
1165002060008,135.1,deal,202012,87000
1165002860006,78.31,deal,202107,83500
1165002860006,83.34,deal,202005,79000
1165002860006,84.5,deal,202105,86500
1165003020000,83.52,deal,202012,74500
1165003020000,83.77,deal,201912,63800
1165003120003,81.58,deal,202011,68900
1165003120003,84.94,deal,202003,66500
1165003170004,81.75,deal,202201,105000
1165003170004,83.01,deal,202002,83000
1165003220000,81.82,deal,202006,66000
1165003220000,83.52,deal,202201,92000
1165003250001,66.32,deal,202012,73000
1165003250001,68.2,deal,202203,80000
1165003250001,71.12,deal,202009,70000
1165003250001,71.13,deal,202008,73500
1165003330009,65.33,deal,202105,79800
1165003330009,66.24,deal,202007,78000
1165003520007,84.48,deal,202010,54000
1165003520011,87.98,deal,202001,62000
1165003520013,80.43,deal,201911,60000
1165003520013,82.52,deal,201910,60000
1165003590000,116.79,deal,202002,84800
1165003620006,78.34,deal,202201,83000
1165003620006,78.35,deal,202001,59500
1165003620006,81.99,deal,202007,65000
1165003630003,73.28,deal,202105,60000
1165003780001,163.98,deal,202102,110000
1165003790003,84.28,deal,202006,82500
1165003790003,84.86,deal,202011,79700
1165003820000,49.21,deal,202202,40000
1165003820000,58.28,deal,202203,57000
1165003820000,70.02,deal,202006,43000
1165003820000,71.9,deal,202008,52500
1165003850009,75.33,deal,202008,51500
1165003850011,71.48,deal,202106,64500
1165003890002,43.47,deal,202112,52000
1165003890002,78.84,deal,202101,84000
1165003910012,84.68,deal,201911,67500
1165003910012,84.74,deal,202106,89000
1165004020006,84.15,deal,202005,70000
1165004020006,84.72,deal,201910,67000
1165004020006,104.78,deal,202003,80000
1165004020006,121.66,deal,202001,77500
1165004020006,125.15,deal,202006,90000
1165004020006,127.65,deal,202001,88500
1165004020008,83.71,deal,202011,73500
1165004020008,83.72,deal,202111,78500
1165004020008,84.78,deal,201912,74700
1165004020010,53.44,deal,202007,40500
1165004020010,56.34,deal,201907,40750
1165004020013,78.87,deal,202001,54000
1165004020015,59.75,deal,202010,45000
1165004020015,79.54,deal,202112,70000
1165004210001,166.22,deal,202011,130000
1165004240028,59.97,deal,202205,205000
1165004240028,59.99,deal,202007,168500
1165004240028,84.91,deal,202108,229000
1165004240028,84.93,deal,202101,211500
1165004240028,84.97,deal,202103,205000
1165004240028,121.63,deal,202106,234000
1165004240028,121.65,deal,202012,240000
1165004240028,147.72,deal,202204,285000
1165004240028,216.27,deal,202109,283000
1165004250001,129.15,deal,201908,110000
1165004250001,130.59,deal,202104,138000
1165004250001,134.15,deal,201910,120000
1165004340003,102.42,deal,201910,128000
1165004340003,104.49,deal,201908,119000
1165004340003,104.82,deal,201908,125000
1165004340003,104.85,deal,201907,119500
