no,subway_station_no,apt_id,dist
2476,193,1165010633,303.96645004099
2477,193,1165010617,540.639720242773
2478,141,1165010138,443.676946124061
2479,231,1165010110,495.776537929775
2480,372,1165010110,495.776537929775
2481,138,1165010809,357.661250246222
2482,662,1165010809,357.661250246222
2483,192,1165010610,415.199831067804
2484,196,1165010827,214.838289802258
2485,192,1165010647,608.809900217735
2486,193,1165010647,674.255964338737
2487,196,1165010828,81.3497096154081
2488,140,1165010858,659.937566798105
2489,196,1165010858,438.74145101328
2490,194,1165010718,339.284476240431
2491,370,1165010718,339.284476240431
2492,435,1165010718,339.284476240431
2493,231,1165010130,201.326975213594
2494,372,1165010130,201.326975213594
2495,141,1165010134,329.560805575236
2496,371,1165010134,569.763489596287
2497,433,1165010123,671.093038326955
2498,433,1165010120,575.556854113374
2499,196,1165010820,655.269983468121
2500,434,1165010721,632.353520024217
2501,142,1165010112,260.951973505232
2502,232,1165010112,260.951973505232
2503,193,1165010635,240.495122825273
2504,369,1165010635,529.033536934364
2505,196,1165010840,333.208757455608
2506,433,1165010118,483.276378100629
2507,141,1165010104,658.383087435268
2508,142,1165010113,481.055911009424
2509,232,1165010113,481.055911009424
2510,141,1165010108,390.930419356906
2511,141,1165010105,406.62385828769
2512,141,1165010139,331.075791809506
2513,193,1165010623,348.435626496688
2514,368,1165010623,690.886474313642
2515,369,1165010623,289.306225736952
2516,436,1165010623,690.91384636379
2517,653,1165011103,202.949247051445
2518,193,1165010639,470.872194103183
2519,369,1165010639,638.97307088678
2520,139,1165010848,632.715420215348
2521,195,1165010848,632.715420215348
2522,139,1165010844,587.654546785708
2523,195,1165010844,587.654546785708
2524,369,1165010724,669.164585364122
2525,436,1165010724,128.885345101596
2526,193,1165010632,194.728707449567
2527,369,1165010632,695.891752160161
2528,139,1165010845,582.347365217489
2529,195,1165010845,582.347365217489
2530,193,1165010625,434.924528238694
2531,369,1165010625,138.951806619645
2532,436,1165010625,580.837885514361
2533,196,1165010830,349.294704463069
2534,193,1165010634,204.990839866229
2535,369,1165010634,623.248724853564
2536,193,1165010627,361.927241702738
2537,369,1165010627,149.829205406531
2538,436,1165010627,677.863382847258
2539,193,1165010640,496.233475577204
2540,194,1165010640,693.078094884326
2541,369,1165010640,588.984052642627
2542,370,1165010640,693.078094884326
2543,435,1165010640,693.078094884326
2544,193,1165010641,471.57201355255
2545,194,1165010641,680.815416245345
2546,369,1165010641,548.42418878184
2547,370,1165010641,680.815416245345
2548,435,1165010641,680.815416245345
2549,139,1165010846,127.135890066737
2550,140,1165010846,692.894909014481
2551,195,1165010846,127.135890066737
2552,192,1165010609,549.962652968928
2553,196,1165010841,278.426621670971
2554,192,1165010616,566.701326548141
2555,193,1165010616,397.074196313312
2556,192,1165010620,555.525194089913
2557,193,1165010620,338.093421271467
2558,138,1165010807,317.266625348999
2559,662,1165010807,317.266625348999
2560,193,1165010618,379.643314479094
2561,436,1165010850,487.560221291046
2562,138,1165010805,324.259308525165
2563,662,1165010805,324.259308525165
2564,138,1165010815,649.423202516778
2565,662,1165010815,649.423202516778
2566,139,1165010843,476.320292571167
2567,195,1165010843,476.320292571167
2568,434,1165010701,39.1595879832506
2569,197,1165010819,629.4800124256
2570,663,1165010819,629.4800124256
2571,141,1165010135,293.370225713313
2572,371,1165010135,511.025710473012
2573,193,1165010642,640.380685240043
2574,194,1165010642,583.870337487897
2575,369,1165010642,645.315687623595
2576,370,1165010642,583.870337487897
2577,435,1165010642,583.870337487897
2578,433,1165010119,480.967162403776
2579,196,1165010825,345.87694785617
2580,138,1165010816,617.042490199817
2581,662,1165010816,617.042490199817
2582,194,1165010719,558.219939277046
2583,370,1165010719,558.219939277046
2584,434,1165010719,623.252368628292
2585,435,1165010719,558.219939277046
2586,141,1165010107,432.696623389207
2587,194,1165010720,627.004475400031
2588,370,1165010720,627.004475400031
2589,434,1165010720,531.808502210982
2590,435,1165010720,627.004475400031
2591,193,1165010631,290.543654616658
2592,193,1165010637,294.603845174051
2593,369,1165010637,659.110475021441
2594,433,1165010122,579.679766684993
2595,140,1165010835,388.192036018434
2596,138,1165010806,304.936273405284
2597,437,1165010806,654.350756946498
2598,662,1165010806,304.936273405284
2599,196,1165010839,431.647182066331
2600,192,1165010612,579.926231095264
2601,141,1165010133,645.649979369834
2602,371,1165010133,172.389449620274
2603,197,1165010823,290.350260195546
2604,663,1165010823,290.350260195546
2605,231,1165010129,167.792315296488
2606,372,1165010129,167.792315296488
2607,197,1165010822,447.925056588652
2608,663,1165010822,447.925056588652
2609,192,1165010614,686.867652153523
2610,193,1165010614,673.81328360453
2611,371,1165010131,503.872966510415
2612,371,1165010128,305.566169967547
2613,194,1165010712,596.528002686676
2614,369,1165010712,416.52964037207
2615,370,1165010712,596.528002686676
2616,435,1165010712,596.528002686676
2617,436,1165010712,315.901886547643
2618,192,1165010606,566.389309463557
2619,193,1165010606,639.499561321267
2620,368,1165010606,279.283950561533
2621,369,1165010606,683.143924054807
2622,196,1165010837,559.995663548178
2623,141,1165010101,679.525886613329
2624,140,1165010836,570.678801031233
2625,196,1165010836,664.72259353161
2626,196,1165010826,132.167716584769
2627,139,1165010838,554.466221206268
2628,140,1165010838,105.068378798151
2629,195,1165010838,554.466221206268
2630,193,1165010636,376.344784749
2631,369,1165010636,557.695726910135
2632,193,1165010628,165.919527840101
2633,369,1165010628,376.444218152934
2634,231,1165010111,651.502639448222
2635,372,1165010111,651.502639448222
2636,193,1165010622,340.709539562498
2637,368,1165010622,644.931940580619
2638,369,1165010622,353.667746069191
2639,139,1165010847,324.12649072194
2640,195,1165010847,324.12649072194
2641,433,1165010121,428.840883321416
2642,192,1165010605,540.036070803365
2643,193,1165010605,448.64787530712
2644,368,1165010605,478.864123171079
2645,369,1165010605,630.322930437972
2646,193,1165010630,267.023220314688
2647,369,1165010630,250.646055690792
2648,196,1165010824,603.696641182101
2649,141,1165010132,593.319253328874
2650,371,1165010132,485.795239377983
2651,141,1165010136,560.534123980321
2652,371,1165010136,483.233766933521
2653,371,1165010127,575.089989757285
2654,140,1165010834,250.35416922269
2655,139,1165010856,170.82937288668
2656,140,1165010856,481.351247079081
